Status,PO #,Ship Date,Item,Description,Notes,Date Sent from SF,Diamond ETA,Insurance Value,Drop Ship?,Actual Ship Date,Date Created,SO#,Tracking #,Quantity,Upload?,Portal URL
"Ready to Invoice,Shipped",411968,"Sep. 09, 2019",BE164LC : BE164LC-18KW-N-S55,"18K White Gold Luxe Ballad Lab Diamond Ring, Size 5.5",Set with: - Stock # MO10X8OV1 - Description   10x8mm Super Premium Oval Moissanite  Arriving from SF on 9/3/2019  Stone Insurance Value 1880.00,"Sep. 05, 2019",,2912.00,No,"Sep. 09, 2019","Aug. 29, 2019 11:24:43",Sales Order #2019469941,,1,No,https://partner.brilliantearth.com/production/record-153748/
"Ready to Invoice,Shipped",411968,"Sep. 09, 2019",Transfer,,Please send peg head and dmd,"Sep. 05, 2019",,,No,"Sep. 09, 2019","Aug. 29, 2019 11:24:43",,,1,No,https://partner.brilliantearth.com/production/record-153748/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",411973,"Sep. 10, 2019",,,,,"Aug. 30, 2019",,Yes,"Sep. 10, 2019","Aug. 29, 2019 11:38:11",Sales Order #2019469937,,,No,https://partner.brilliantearth.com/production/record-153751/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",411973,"Sep. 10, 2019",BE1PD25R25LC : BE1PD25R25LC-18KW-N-S6,"18K White Gold Petite Shared Prong Lab Diamond Ring (1/4 ct. tw.), Size 6","Set with: - Dia stock #  3368432Y  3368432Y   1.02 Carat, Oval, Very Good Cut, F Color, VVS2 Clarity, 7.83 x 5.80 x 3.46mm, Conflict Free Lab Created Diamond   - Cert # 375937796 -Inscription: No  Arriving from San Francisco on 9/3/2019   Stone Insurance Value: 2448.00","Aug. 30, 2019","Aug. 30, 2019",3240.00,Yes,"Sep. 10, 2019","Aug. 29, 2019 11:38:11",Sales Order #2019469937,,1,No,https://partner.brilliantearth.com/production/record-153751/
"Ready to Invoice,Shipped",412017,"Sep. 20, 2019",,,,,,,No,"Sep. 19, 2019","Aug. 29, 2019 11:51:05",,776288524330,,No,https://partner.brilliantearth.com/production/record-153812/
"Ready to Invoice,Shipped",412017,"Sep. 20, 2019",BE1PD25R25LC : BE1PD25R25LC-18KW-N-S6,"18K White Gold Petite Shared Prong Lab Diamond Ring (1/4 ct. tw.), Size 6",Qty is 2. Please set with 7mm RD CZ arriving from SF  Please set with lab melee,"Sep. 13, 2019",,1584.00,No,"Sep. 19, 2019","Aug. 29, 2019 11:51:05",,776288524330,2,No,https://partner.brilliantearth.com/production/record-153812/
"Ready to Invoice,Shipped",412018,"Sep. 18, 2019",,,,,,,No,"Sep. 18, 2019","Aug. 29, 2019 11:51:06",,,,No,https://partner.brilliantearth.com/production/record-153813/
"Ready to Invoice,Shipped",412018,"Sep. 18, 2019",BE1PD25R25LC : BE1PD25R25LC-18KY-N-S6,"18K Yellow Gold Petite Shared Prong Lab Diamond Ring (1/4 ct. tw.), Size 6",Qty is 1. Please set with 7mm RD CZ arriving from SF  Please set with lab melee,"Sep. 13, 2019",,792.00,No,"Sep. 18, 2019","Aug. 29, 2019 11:51:06",,,1,No,https://partner.brilliantearth.com/production/record-153813/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",412070,"Sep. 10, 2019",,,,,,,Yes,"Sep. 10, 2019","Aug. 29, 2019 14:11:13",Sales Order #2019468752,,,No,https://partner.brilliantearth.com/production/record-153824/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",412070,"Sep. 10, 2019",BE1PD25R25 : BE1PD25R25-18KW-N-S5,"18K White Gold Petite Shared Prong Diamond Ring (1/4 ct. tw.), Size 5","Set With: SKU: 3335127A  1.07 Carat, Cushion, Super Ideal Cut, F Color, SI1 Clarity, 5.77 x 5.72 x 3.86 Measurements Cert#: 6322459771 Arriving from SF 9/6/2019 Insurance Value: 3216","Sep. 04, 2019",,4008.00,Yes,"Sep. 10, 2019","Aug. 29, 2019 14:11:13",Sales Order #2019468752,,1,No,https://partner.brilliantearth.com/production/record-153824/
